block_number,location,Index,has_distraction,trial_type,word,color,correct_key,distraction_file_name,practice_trials_4X5.thisRepN,practice_trials_4X5.thisTrialN,practice_trials_4X5.thisN,practice_trials_4X5.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_stroop.started,key_stroop.keys,key_stroop.corr,key_stroop.rt,key_stroop.stopped,participant,date,expName,psychopyVersion,frameRate,
b2,stroop_trial_condtions/b2.xlsx,0.3240706252403076,1,congruent,YELLOW,yellow,f,distractors/3.wav,,,,,0,1,1,1,0,38,38,15,702.6016167999987,f,1,0.964779300000373,704.6010059,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.5224761727455313,1,incongruent,RED,blue,d,distractors/1.wav,,,,,0,1,1,1,0,39,39,20,707.1000339999991,s,0,1.4896157000002859,709.0993200999983,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.7331852058029119,1,incongruent,GREEN,blue,d,distractors/4.wav,,,,,0,1,1,1,0,40,40,28,711.5990330999994,d,1,1.1475816999991366,713.5979765000011,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.6661419533997107,1,congruent,RED,red,a,distractors/2.wav,,,,,0,1,1,1,0,41,41,3,716.1141290000014,a,1,0.8896499000002223,718.1131556,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.776926077509408,1,incongruent,GREEN,blue,d,distractors/4.wav,,,,,0,1,1,1,0,42,42,22,720.6120727999987,d,1,1.3696079000001191,722.6112796000016,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.6295899639289376,1,congruent,RED,red,a,distractors/2.wav,,,,,0,1,1,1,0,43,43,11,725.1275533000007,a,1,0.8504251999984263,727.1277570999991,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.12819537203794318,1,incongruent,YELLOW,red,a,distractors/3.wav,,,,,0,1,1,1,0,44,44,35,729.6111947999998,a,1,0.9190418999969552,731.6111722999995,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.8586137871935915,1,incongruent,YELLOW,blue,d,distractors/3.wav,,,,,0,1,1,1,0,45,45,44,734.1080005000003,f,0,1.1683112000027904,736.1066468999998,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.9005674222221599,1,congruent,BLUE,blue,d,distractors/2.wav,,,,,0,1,1,1,0,46,46,30,738.606074700001,d,1,1.1200882000011916,740.6054369999983,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b2,stroop_trial_condtions/b2.xlsx,0.15564368800765982,1,incongruent,YELLOW,blue,d,distractors/3.wav,,,,,0,1,1,1,0,47,47,39,743.1043944999983,d,1,1.120050400000764,745.1036545999996,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b3,stroop_trial_condtions/b1.xlsx,0.004767373540519926,0,incongruent,RED,green,s,distractors/silence.wav,,,,,0,2,2,2,0,0,0,14,814.5467511999996,s,1,1.4128491999981634,816.5467524000014,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b3,stroop_trial_condtions/b1.xlsx,0.7445649241064577,0,congruent,GREEN,green,s,distractors/silence.wav,,,,,0,2,2,2,0,1,1,42,819.0621666000006,s,1,0.9980374000006123,821.0621912999995,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b3,stroop_trial_condtions/b1.xlsx,0.5430706368691302,0,incongruent,BLUE,yellow,f,distractors/silence.wav,,,,,0,2,2,2,0,2,2,1,823.5623833999998,f,1,1.182949899997766,825.5625366999993,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b3,stroop_trial_condtions/b1.xlsx,0.832802100155878,0,incongruent,GREEN,red,a,distractors/silence.wav,,,,,0,2,2,2,0,3,3,41,828.0623348000008,a,1,1.0003508000008878,,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b3,stroop_trial_condtions/b1.xlsx,0.6671969061834688,0,incongruent,RED,green,s,distractors/silence.wav,,,,,0,2,2,2,0,4,4,36,832.5575437000007,s,1,1.2583999000016775,834.5565353999991,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
b3,stroop_trial_condtions/b1.xlsx,0.8309483305278348,0,incongruent,BLUE,green,s,distractors/silence.wav,,,,,0,2,2,2,0,5,5,46,837.0724053000013,s,1,1.6252287000024808,839.0717175999998,P3,2023-06-08_15h54.44.730,StroopExp,2022.2.5,59.97501440900438,
